sku,product_name,price_group_id,price_group_name,group_type
BOOEDTE001,PageTurn Essential Textbooks,BACK_TO_SCHOOL_01,Back to School Essentials,Seasonal
BOOEDTE002,Bookworm Advanced Textbooks,BACK_TO_SCHOOL_01,Back to School Essentials,Seasonal
BOOEDTE004,PageTurn Essential Textbooks,BACK_TO_SCHOOL_01,Back to School Essentials,Seasonal
CLOMESH002,DressRight Shirts Collection,BACK_TO_SCHOOL_01,Back to School Essentials,Seasonal
CLOMESH005,StyleX Relaxed Shirts,BACK_TO_SCHOOL_01,Back to School Essentials,Seasonal
CLOMESH013,Fashionista Relaxed Shirts,BACK_TO_SCHOOL_01,Back to School Essentials,Seasonal
ELECOLA004,TechPro Laptops Elite 2025,BACK_TO_SCHOOL_01,Back to School Essentials,Seasonal
ELECOLA006,Electra Laptops Edge XL,BACK_TO_SCHOOL_01,Back to School Essentials,Seasonal
ELECOLA009,ByteWare Laptops Smart 2025,BACK_TO_SCHOOL_01,Back to School Essentials,Seasonal
TOYEDST001,ToyWorld Junior STEM,BACK_TO_SCHOOL_01,Back to School Essentials,Seasonal
TOYEDST004,ToyWorld Adventure STEM,BACK_TO_SCHOOL_01,Back to School Essentials,Seasonal
TOYEDST007,KidJoy Creative STEM,BACK_TO_SCHOOL_01,Back to School Essentials,Seasonal
CLOMEPA001,ThreadWell Pants Collection,CASUAL_BOTTOMS_01,Casual Bottoms,Substitute
CLOMEPA002,DressRight Regular Pants,CASUAL_BOTTOMS_01,Casual Bottoms,Substitute
CLOMEPA008,StyleX Pants Collection,CASUAL_BOTTOMS_01,Casual Bottoms,Substitute
CLOMEPA009,Fashionista Modern Pants,CASUAL_BOTTOMS_01,Casual Bottoms,Substitute
CLOWOBO002,Attire Regular Bottoms,CASUAL_BOTTOMS_01,Casual Bottoms,Substitute
CLOWOBO007,ThreadWell Bottoms Collection,CASUAL_BOTTOMS_01,Casual Bottoms,Substitute
CLOWOBO009,Fashionista Bottoms Collection,CASUAL_BOTTOMS_01,Casual Bottoms,Substitute
CLOWOBO015,DressRight Slim Bottoms,CASUAL_BOTTOMS_01,Casual Bottoms,Substitute
ELEAUHE002,TechPro Headphones Air Pro,COMP_SETUP_01,Computer Setup Essentials,Bundle
ELEAUHE009,Electra Headphones Air XL,COMP_SETUP_01,Computer Setup Essentials,Bundle
ELEAUHE011,Electra Headphones Pro XL,COMP_SETUP_01,Computer Setup Essentials,Bundle
ELEAUHE012,Innovate Headphones Mini X,COMP_SETUP_01,Computer Setup Essentials,Bundle
ELECODE002,TechPro Desktops Plus S,COMP_SETUP_01,Computer Setup Essentials,Bundle
ELECODE003,Innovate Desktops Pro Pro,COMP_SETUP_01,Computer Setup Essentials,Bundle
ELECODE004,ByteWare Desktops Ultra XL,COMP_SETUP_01,Computer Setup Essentials,Bundle
ELECODE011,Electra Desktops Smart Pro,COMP_SETUP_01,Computer Setup Essentials,Bundle
ELECOLA001,TechPro Laptops Smart 2025,COMP_SETUP_01,Computer Setup Essentials,Bundle
